5555555555554444;W;47.3;1613977546000
5555555555554444;D;54.76;1532658685000
5555555555554444;D;81.54;1494070809000
5555555555554444;D;33.51;1470638316000
5555555555554444;D;25.2;1520333456000
5555555555554444;W;21.34;1479610501000
5555555555554444;W;46.63;1577192608000
5555555555554444;W;33.26;1539644219000
5555555555554444;W;81.26;1621559976000
5555555555554444;D;88.93;1486743313000
5555555555554444;W;64.66;1545624574000
5555555555554444;W;36.69;1516595703000
5555555555554444;W;94.45;1484279436000
5555555555554444;W;23;1522836818000
5555555555554444;D;51.63;1596393285000
5555555555554444;D;75.37;1528821008000
5555555555554444;D;68.96;1491872405000
5555555555554444;W;49.78;1554526235000
5555555555554444;D;97.49;1567799149000
5555555555554444;D;33.55;1548133714000
5555555555554444;W;47.34;1479561913000
5555555555554444;W;52;1575889670000
5555555555554444;W;50.51;1489470546000
5555555555554444;W;88.37;1562621602000
5555555555554444;W;85.5;1489538016000
5555555555554444;W;99.38;1575640050000
5555555555554444;D;57.67;1596169381000
5555555555554444;D;42.55;1520092252000
5555555555554444;D;75.32;1512073734000
5555555555554444;W;48.1;1577050827000
5555555555554444;W;71.06;1625027514000
5555555555554444;D;62.62;1503170189000
5555555555554444;W;26.39;1606551349000
5555555555554444;W;40.1;1536060041000
5555555555554444;W;85.55;1620859812000
5555555555554444;D;25.83;1473496894000
5555555555554444;W;80.16;1492973195000
5555555555554444;D;44.11;1625978771000
5105105105105100;D;57.13;1474242237000
5105105105105100;D;55.29;1622075226000
5105105105105100;W;20.88;1559204546000
5105105105105100;W;51.67;1564800159000
5105105105105100;D;32.52;1589598479000
5105105105105100;W;65.55;1556784760000
5105105105105100;D;97.58;1618486115000
5105105105105100;W;22.64;1600532435000
5105105105105100;D;69.91;1503826963000
5105105105105100;W;38.2;1475477639000
5105105105105100;W;54.77;1581110638000
5105105105105100;W;87.5;1558837777000
5105105105105100;W;55.9;1493468324000
5105105105105100;W;82.73;1487703792000
5105105105105100;W;51.77;1555706740000
5105105105105100;W;27.83;1480593423000
5105105105105100;W;72.78;1517336495000
5105105105105100;D;67.92;1578804738000
5105105105105100;W;45.79;1617707699000
5105105105105100;D;25.45;1585114110000
5105105105105100;W;20.22;1609837842000
5105105105105100;W;93.9;1597118902000
5105105105105100;D;50;1506797480000
5105105105105100;D;51.36;1510748694000
5105105105105100;W;93.77;1616017445000
5105105105105100;D;85.02;1566931279000
5105105105105100;D;49.31;1474761085000
4111111111111111;D;96.91;1540202786000
4111111111111111;W;81.12;1600134007000
4111111111111111;D;59.17;1494931644000
4111111111111111;W;98.16;1579822478000
4111111111111111;D;99.15;1508913390000
4111111111111111;W;21.89;1493195646000
4111111111111111;D;30.64;1490695211000
4111111111111111;D;37.71;1559425204000
4111111111111111;W;86.28;1535906978000
4111111111111111;D;91.22;1526361580000
4111111111111111;D;65.03;1525003621000
4111111111111111;W;50.39;1587501115000
4111111111111111;W;39.4;1480312392000
4111111111111111;W;28.42;1606625452000
4111111111111111;D;57.09;1556302219000
4111111111111111;W;51.77;1525652566000
4111111111111111;D;95.07;1483818400000
4111111111111111;W;41.92;1571948346000
4111111111111111;W;52.03;1525272619000
